Q11A,Q1A,Q8A,Q6A,Severtiy Level
2,2,1,1,Severe
4,3,1,1,Severe
1,2,4,4,Extremely Severe
3,2,2,2,Severe
4,2,2,4,Extremely Severe
3,3,3,2,Extremely Severe
3,3,1,3,Severe
1,2,1,2,Severe
1,2,1,2,Moderate
4,2,2,4,Extremely Severe
4,3,3,3,Extremely Severe
1,1,1,1,Mild
3,2,1,3,Severe
3,3,2,2,Extremely Severe
2,4,2,4,Extremely Severe
1,1,2,1,Moderate
3,3,4,3,Extremely Severe
4,4,2,3,Extremely Severe
4,3,2,3,Extremely Severe
2,2,2,2,Severe
3,2,3,2,Extremely Severe
4,3,3,4,Extremely Severe
2,2,2,3,Moderate
2,1,4,3,Severe
2,2,2,4,Extremely Severe
2,2,1,1,Moderate
3,2,1,2,Severe
2,2,2,2,Moderate
2,1,3,3,Severe
2,2,2,2,Severe
2,1,1,2,Mild
2,2,1,2,Severe
3,2,3,2,Severe
3,3,4,3,Extremely Severe
4,4,4,4,Extremely Severe
4,2,4,4,Extremely Severe
2,2,1,1,Moderate
2,3,2,2,Severe
4,4,2,4,Extremely Severe
2,2,2,2,Moderate
3,4,2,4,Extremely Severe
2,2,1,1,Moderate
4,4,4,4,Extremely Severe
2,1,3,2,Moderate
4,2,3,2,Extremely Severe
4,4,3,3,Extremely Severe
1,1,2,1,Moderate
1,1,1,1,Mild
2,2,3,3,Severe
3,3,2,3,Extremely Severe
4,4,4,2,Extremely Severe
4,2,2,4,Extremely Severe
2,2,1,2,Moderate
2,2,2,3,Severe
4,3,3,4,Extremely Severe
2,2,1,2,Moderate
4,4,4,3,Extremely Severe
3,3,2,2,Extremely Severe
1,1,2,1,Severe
4,3,3,2,Extremely Severe
4,4,3,4,Extremely Severe
3,3,3,2,Extremely Severe
2,4,2,2,Extremely Severe
2,2,2,2,Severe
3,3,3,2,Extremely Severe
2,3,2,3,Extremely Severe
4,4,4,4,Extremely Severe
2,3,4,4,Extremely Severe
4,3,2,3,Extremely Severe
4,2,2,3,Extremely Severe
1,2,1,2,Moderate
1,1,1,1,Mild
2,1,1,2,Mild
1,1,1,1,Mild
2,3,2,2,Severe
2,4,2,1,Severe
4,4,2,4,Extremely Severe
3,2,2,1,Extremely Severe
2,3,2,3,Severe
2,2,2,2,Severe
2,2,4,4,Extremely Severe
3,2,2,3,Extremely Severe
4,4,3,3,Extremely Severe
4,4,2,2,Extremely Severe
4,4,2,4,Extremely Severe
2,2,3,2,Severe
4,4,4,4,Extremely Severe
4,4,3,4,Extremely Severe
3,2,2,2,Severe
4,3,1,3,Extremely Severe
2,2,2,2,Moderate
2,2,1,2,Moderate
2,1,2,1,Moderate
3,3,3,3,Extremely Severe
3,1,2,4,Severe
3,3,2,2,Severe
2,2,1,1,Moderate
2,2,2,3,Extremely Severe
3,3,2,1,Severe
2,2,2,1,Severe
3,2,1,1,Moderate
3,2,2,2,Severe
4,4,4,4,Extremely Severe
2,2,1,1,Mild
3,3,4,2,Extremely Severe
2,2,2,2,Severe
3,2,1,1,Moderate
2,1,1,1,Mild
4,4,3,4,Extremely Severe
2,2,1,2,Severe
4,4,4,3,Extremely Severe
2,3,2,2,Extremely Severe
2,2,2,4,Severe
4,3,3,3,Severe
2,3,2,1,Severe
3,3,3,3,Extremely Severe
4,4,2,4,Extremely Severe
3,3,2,2,Severe
1,1,1,1,Moderate
2,1,1,2,Moderate
2,2,1,2,Moderate
2,3,1,1,Severe
2,2,1,1,Moderate
3,3,2,1,Extremely Severe
2,2,1,2,Severe
2,1,1,1,Mild
3,3,2,2,Extremely Severe
3,1,1,3,Moderate
3,2,2,3,Severe
3,3,2,1,Severe
4,4,4,4,Extremely Severe
2,2,1,2,Moderate
4,4,3,4,Extremely Severe
3,2,3,2,Severe
4,3,2,3,Extremely Severe
4,3,2,2,Extremely Severe
2,3,2,1,Severe
2,4,2,2,Severe
4,4,4,4,Extremely Severe
4,4,4,4,Extremely Severe
3,4,3,1,Severe
3,3,4,2,Extremely Severe
4,4,3,4,Extremely Severe
3,2,2,1,Severe
4,3,4,4,Extremely Severe
3,1,3,2,Severe
4,4,4,1,Extremely Severe
3,3,3,3,Extremely Severe
2,3,1,2,Moderate
1,2,1,2,Moderate
2,1,1,4,Severe
2,2,2,2,Severe
4,2,2,2,Severe
2,2,3,1,Extremely Severe
4,2,1,2,Severe
4,4,4,4,Extremely Severe
2,2,3,2,Extremely Severe
4,4,1,2,Severe
3,4,3,2,Extremely Severe
3,3,1,3,Extremely Severe
2,2,2,1,Severe
3,2,2,2,Severe
4,2,2,1,Severe
4,4,1,4,Extremely Severe
2,2,1,2,Severe
3,2,2,3,Severe
4,2,1,2,Moderate
2,2,2,1,Severe
1,2,2,2,Moderate
2,3,3,2,Extremely Severe
3,2,2,2,Severe
3,3,2,2,Severe
3,1,2,2,Severe
1,1,1,2,Moderate
4,4,4,4,Extremely Severe
4,3,4,3,Extremely Severe
4,3,4,3,Extremely Severe
4,4,4,3,Extremely Severe
2,2,2,2,Severe
3,3,1,2,Severe
2,2,2,2,Severe
3,3,3,2,Extremely Severe
4,2,3,1,Extremely Severe
4,2,4,2,Extremely Severe
3,3,4,2,Extremely Severe
1,2,1,2,Moderate
3,4,3,3,Severe
1,2,1,1,Moderate
4,4,4,4,Extremely Severe
4,2,4,3,Extremely Severe
4,4,2,4,Extremely Severe
3,3,4,3,Extremely Severe
1,2,1,1,Moderate
1,4,1,1,Extremely Severe
2,1,1,1,Moderate
4,4,3,3,Extremely Severe
4,4,4,4,Extremely Severe
1,1,1,1,Moderate
2,2,1,2,Severe
2,2,1,2,Moderate
4,4,2,1,Extremely Severe
2,2,3,2,Extremely Severe
4,3,3,1,Extremely Severe
1,1,2,2,Severe
3,4,2,4,Extremely Severe
2,2,2,1,Moderate
4,4,2,3,Extremely Severe
4,3,3,2,Extremely Severe
3,2,4,1,Severe
3,2,3,3,Severe
4,4,2,2,Extremely Severe
2,2,3,2,Extremely Severe
3,2,1,2,Severe
4,3,2,1,Severe
4,4,3,4,Extremely Severe
3,3,3,2,Extremely Severe
1,1,1,2,Moderate
4,4,4,4,Extremely Severe
4,3,2,3,Extremely Severe
4,4,2,2,Extremely Severe
2,1,1,1,Mild
2,2,2,2,Severe
2,3,2,3,Extremely Severe
2,2,2,2,Severe
4,2,4,4,Extremely Severe
2,3,2,2,Severe
1,2,2,2,Severe
4,3,2,4,Extremely Severe
3,2,2,2,Extremely Severe
3,3,3,2,Extremely Severe
3,1,2,2,Moderate
1,2,1,1,Moderate
3,3,2,3,Extremely Severe
2,2,2,4,Severe
4,2,1,4,Extremely Severe
4,3,2,4,Severe
2,2,2,3,Extremely Severe
2,1,1,1,Mild
4,4,4,4,Extremely Severe
3,2,2,3,Extremely Severe
1,3,2,3,Moderate
3,2,1,2,Moderate
1,1,1,3,Moderate
2,3,1,2,Severe
2,2,1,1,Severe
3,2,2,1,Moderate
1,2,1,1,Moderate
1,2,1,2,Moderate
3,3,3,3,Extremely Severe
3,2,1,2,Moderate
3,2,2,2,Moderate
4,4,4,4,Extremely Severe
4,4,4,3,Extremely Severe
4,4,4,4,Extremely Severe
3,2,2,1,Severe
1,1,1,1,Moderate
2,2,3,1,Severe
4,4,2,3,Extremely Severe
2,2,1,3,Severe
2,2,2,1,Moderate
3,3,2,3,Extremely Severe
3,1,2,3,Extremely Severe
4,4,4,4,Extremely Severe
2,3,2,3,Extremely Severe
1,2,1,1,Moderate
3,3,3,4,Extremely Severe
2,2,1,2,Severe
2,2,2,2,Severe
2,2,2,2,Moderate
4,4,4,4,Extremely Severe
3,2,1,1,Severe
3,4,4,3,Extremely Severe
4,4,3,4,Extremely Severe
2,2,2,2,Severe
3,3,3,2,Extremely Severe
4,4,4,2,Severe
4,4,4,4,Extremely Severe
3,3,3,2,Extremely Severe
4,2,1,4,Severe
2,1,1,1,Moderate
2,2,2,3,Severe
2,2,2,2,Severe
1,2,2,2,Moderate
4,3,2,4,Extremely Severe
4,4,3,4,Extremely Severe
4,4,3,3,Extremely Severe
3,2,1,1,Moderate
2,1,2,2,Moderate
4,2,3,2,Extremely Severe
3,3,3,4,Extremely Severe
4,3,1,1,Severe
4,4,4,4,Extremely Severe
4,4,2,4,Extremely Severe
1,2,3,2,Moderate
4,2,1,1,Extremely Severe
4,3,2,3,Extremely Severe
4,4,4,4,Extremely Severe
4,4,3,2,Extremely Severe
4,4,1,3,Severe
4,2,2,1,Severe
4,4,3,3,Extremely Severe
4,3,4,3,Extremely Severe
3,1,3,2,Severe
2,1,2,1,Severe
2,2,3,3,Extremely Severe
2,2,2,2,Severe
4,2,1,3,Extremely Severe
4,2,2,2,Extremely Severe
4,3,3,4,Extremely Severe
3,4,3,4,Extremely Severe
4,3,3,4,Extremely Severe
1,2,2,3,Severe
4,3,3,3,Extremely Severe
1,1,1,1,Normal
3,2,1,3,Severe
3,3,2,2,Severe
2,2,1,2,Moderate
4,4,4,4,Extremely Severe
2,2,1,1,Moderate
4,4,4,2,Extremely Severe
3,4,2,3,Severe
4,3,2,3,Extremely Severe
3,2,2,2,Severe
3,2,3,1,Severe
4,3,3,2,Extremely Severe
3,3,2,3,Severe
2,2,3,2,Severe
4,4,4,4,Extremely Severe
4,4,4,3,Extremely Severe
3,3,2,4,Extremely Severe
2,2,1,2,Severe
4,4,4,4,Extremely Severe
2,2,3,4,Extremely Severe
3,2,3,2,Extremely Severe
2,2,2,2,Extremely Severe
3,4,4,4,Extremely Severe
2,2,2,3,Severe
4,4,2,4,Extremely Severe
1,2,2,1,Extremely Severe
2,2,1,2,Moderate
2,1,1,1,Moderate
3,2,3,2,Severe
4,4,2,2,Extremely Severe
3,4,2,3,Extremely Severe
4,4,3,4,Extremely Severe
2,3,3,2,Extremely Severe
2,4,1,3,Extremely Severe
1,1,2,3,Severe
4,4,2,2,Severe
4,4,4,4,Extremely Severe
4,4,2,3,Extremely Severe
4,4,4,2,Extremely Severe
2,2,1,2,Moderate
3,1,2,2,Moderate
2,2,3,4,Extremely Severe
4,4,4,4,Extremely Severe
3,3,4,2,Extremely Severe
4,4,2,2,Severe
4,4,3,2,Extremely Severe
4,3,3,4,Extremely Severe
4,3,2,2,Extremely Severe
2,1,4,1,Extremely Severe
2,2,1,3,Severe
4,3,2,3,Extremely Severe
3,3,4,1,Extremely Severe
3,2,3,2,Extremely Severe
4,4,4,2,Extremely Severe
1,1,1,2,Moderate
4,3,2,3,Extremely Severe
4,1,3,2,Extremely Severe
1,1,1,1,Mild
4,4,2,4,Extremely Severe
4,4,4,4,Extremely Severe
3,2,3,1,Severe
4,4,3,3,Extremely Severe
2,2,3,3,Severe
3,3,2,4,Severe
2,3,1,3,Severe
4,4,4,4,Extremely Severe
1,2,1,1,Moderate
4,4,4,4,Extremely Severe
2,3,3,4,Extremely Severe
3,2,3,2,Severe
3,2,1,2,Moderate
3,2,1,3,Severe
2,2,3,3,Extremely Severe
4,4,2,2,Extremely Severe
3,3,1,2,Severe
4,3,4,3,Extremely Severe
3,3,3,4,Extremely Severe
2,3,2,3,Severe
1,2,3,3,Severe
4,3,2,3,Extremely Severe
4,3,3,3,Extremely Severe
3,2,2,2,Severe
4,4,2,4,Extremely Severe
2,2,1,2,Moderate
3,2,1,3,Severe
3,2,2,2,Severe
4,4,2,4,Extremely Severe
4,2,2,4,Severe
3,3,4,3,Extremely Severe
4,4,3,4,Extremely Severe
4,2,4,4,Extremely Severe
3,3,3,3,Extremely Severe
3,1,2,1,Severe
2,3,2,3,Extremely Severe
2,1,2,3,Moderate
4,4,3,1,Extremely Severe
4,3,4,4,Extremely Severe
4,4,2,4,Extremely Severe
3,2,2,1,Severe
1,1,1,2,Mild
3,2,3,2,Extremely Severe
3,4,4,3,Extremely Severe
4,4,2,4,Extremely Severe
1,4,1,2,Severe
2,2,2,1,Severe
1,1,1,2,Mild
3,2,2,2,Moderate
2,2,2,2,Severe
4,3,2,2,Extremely Severe
4,3,4,2,Extremely Severe
4,4,3,3,Extremely Severe
1,2,1,2,Moderate
3,2,2,2,Moderate
2,1,1,2,Moderate
2,1,1,1,Moderate
3,4,1,2,Extremely Severe
2,2,2,1,Severe
2,2,2,1,Moderate
2,3,1,2,Moderate
2,2,1,2,Severe
4,4,4,3,Extremely Severe
2,2,4,2,Severe
3,2,2,2,Severe
3,4,2,3,Extremely Severe
4,3,4,4,Extremely Severe
4,4,3,4,Extremely Severe
1,2,1,3,Severe
2,2,1,2,Moderate
4,4,2,1,Severe
3,3,4,3,Severe
2,2,2,2,Moderate
4,2,1,2,Extremely Severe
3,4,1,3,Severe
2,2,2,1,Moderate
4,2,2,2,Extremely Severe
1,2,2,1,Moderate
4,4,2,3,Extremely Severe
1,1,1,2,Mild
2,2,2,2,Severe
4,3,3,2,Extremely Severe
3,2,3,2,Severe
4,2,2,2,Extremely Severe
4,4,4,2,Extremely Severe
2,2,1,2,Moderate
2,2,2,2,Moderate
2,4,4,2,Extremely Severe
4,3,2,2,Extremely Severe
3,4,3,4,Extremely Severe
1,2,1,1,Moderate
4,1,2,1,Extremely Severe
2,2,2,2,Severe
4,4,4,4,Extremely Severe
3,4,3,2,Extremely Severe
4,4,4,3,Extremely Severe
3,2,2,1,Moderate
3,3,2,2,Extremely Severe
4,4,2,2,Extremely Severe
2,2,3,1,Severe
4,4,3,3,Extremely Severe
4,4,4,4,Extremely Severe
1,1,1,1,Mild
4,4,4,4,Extremely Severe
4,2,1,1,Severe
4,2,1,2,Severe
2,3,2,2,Severe
4,3,4,3,Extremely Severe
3,3,1,3,Severe
4,3,3,3,Extremely Severe
2,2,2,3,Severe
2,1,2,2,Severe
2,2,2,2,Severe
4,4,3,2,Extremely Severe
3,3,1,3,Severe
1,1,1,2,Mild
2,1,1,2,Moderate
3,2,2,2,Severe
1,2,1,1,Mild
4,4,2,3,Extremely Severe
4,4,3,4,Extremely Severe
2,2,1,2,Moderate
2,1,1,3,Severe
4,4,4,3,Extremely Severe
4,3,4,3,Extremely Severe
1,1,1,2,Moderate
1,2,2,2,Moderate
4,4,4,4,Extremely Severe
4,3,4,4,Extremely Severe
4,2,1,4,Severe
2,1,1,1,Mild
2,2,1,3,Moderate
4,2,2,3,Severe
4,4,4,4,Extremely Severe
4,4,2,2,Severe
4,4,2,1,Severe
4,4,4,4,Extremely Severe
4,4,4,3,Extremely Severe
1,2,2,2,Severe
2,2,1,1,Moderate
4,4,2,4,Extremely Severe
2,3,2,4,Extremely Severe
3,4,4,3,Extremely Severe
1,4,3,1,Severe
1,1,1,1,Moderate
4,4,2,4,Extremely Severe
4,4,4,4,Extremely Severe
2,2,1,3,Moderate
4,4,3,2,Extremely Severe
2,1,1,2,Moderate
4,4,2,3,Extremely Severe
3,2,2,2,Severe
4,3,2,3,Extremely Severe
1,2,1,2,Moderate
3,3,2,3,Extremely Severe
2,2,2,2,Moderate
2,1,1,1,Mild
4,4,2,4,Extremely Severe
1,1,1,1,Normal
1,1,1,1,Normal
4,4,3,2,Extremely Severe
2,3,3,2,Severe
2,4,2,1,Severe
4,3,2,4,Extremely Severe
4,4,1,2,Extremely Severe
2,2,2,2,Extremely Severe
4,4,4,4,Extremely Severe
4,3,1,3,Extremely Severe
3,4,4,4,Extremely Severe
4,2,4,3,Extremely Severe
3,3,1,3,Severe
2,3,2,2,Severe
4,3,3,3,Extremely Severe
2,2,2,3,Severe
2,1,2,3,Extremely Severe
1,2,3,2,Severe
3,3,3,3,Extremely Severe
2,2,2,4,Severe
4,2,1,2,Severe
2,1,1,2,Moderate
3,2,2,2,Severe
2,2,1,1,Moderate
4,4,3,2,Extremely Severe
3,1,1,3,Severe
4,4,4,4,Extremely Severe
1,2,3,3,Severe
4,3,4,4,Extremely Severe
4,2,4,4,Extremely Severe
2,2,1,3,Extremely Severe
2,3,3,2,Severe
4,3,3,3,Extremely Severe
2,3,2,3,Severe
4,4,3,3,Extremely Severe
3,3,2,3,Severe
4,4,4,4,Extremely Severe
3,2,1,3,Severe
4,4,4,4,Extremely Severe
4,4,3,3,Extremely Severe
3,2,1,2,Severe
3,3,3,2,Extremely Severe
3,3,1,1,Moderate
2,1,2,3,Severe
4,2,4,4,Extremely Severe
2,2,2,2,Severe
3,3,3,3,Extremely Severe
2,1,1,2,Moderate
2,1,3,1,Moderate
2,2,2,2,Moderate
1,1,1,1,Mild
2,2,2,2,Severe
4,4,2,3,Extremely Severe
1,1,1,1,Normal
4,4,4,4,Extremely Severe
3,3,2,3,Extremely Severe
2,1,1,1,Mild
2,2,1,2,Moderate
1,1,1,1,Normal
4,4,4,4,Extremely Severe
4,4,3,2,Extremely Severe
4,4,3,3,Extremely Severe
2,2,1,2,Severe
4,4,4,2,Extremely Severe
3,3,3,3,Extremely Severe
2,2,1,2,Severe
2,4,3,3,Extremely Severe
2,2,2,3,Severe
1,2,1,1,Mild
2,2,2,2,Severe
2,3,2,3,Severe
3,3,3,3,Extremely Severe
3,2,3,3,Severe
1,2,2,2,Moderate
4,4,3,4,Extremely Severe
1,2,1,2,Moderate
2,1,3,3,Severe
4,2,4,3,Extremely Severe
3,1,2,2,Severe
3,3,2,3,Severe
4,4,4,4,Extremely Severe
4,4,2,2,Extremely Severe
4,2,1,2,Extremely Severe
3,1,1,1,Moderate
1,2,1,2,Moderate
3,3,3,3,Extremely Severe
3,3,4,3,Extremely Severe
3,3,1,4,Severe
4,4,3,4,Extremely Severe
4,4,1,2,Extremely Severe
1,2,2,2,Severe
3,3,1,2,Severe
2,2,1,2,Moderate
4,4,2,1,Extremely Severe
2,2,2,3,Severe
2,2,2,2,Severe
4,3,3,2,Extremely Severe
2,2,2,2,Moderate
2,2,2,3,Severe
2,2,1,2,Moderate
4,3,3,4,Extremely Severe
2,2,1,1,Moderate
3,3,2,1,Extremely Severe
4,3,1,3,Severe
1,2,2,2,Moderate
2,2,1,2,Moderate
3,3,2,1,Severe
4,4,1,4,Extremely Severe
4,3,2,2,Extremely Severe
2,2,1,2,Severe
2,2,2,3,Moderate
4,4,3,4,Extremely Severe
4,3,1,1,Moderate
4,3,2,3,Extremely Severe
3,2,4,3,Extremely Severe
1,1,3,1,Moderate
3,4,1,2,Extremely Severe
4,1,4,2,Extremely Severe
3,2,2,4,Extremely Severe
4,4,3,3,Extremely Severe
4,3,4,2,Extremely Severe
3,2,2,3,Severe
4,3,4,3,Extremely Severe
1,1,1,1,Normal
4,4,4,3,Extremely Severe
1,1,1,2,Mild
2,1,3,2,Severe
3,3,3,2,Extremely Severe
4,4,4,4,Extremely Severe
2,2,2,3,Extremely Severe
4,4,2,4,Extremely Severe
3,4,2,2,Extremely Severe
2,2,3,3,Extremely Severe
1,1,1,1,Normal
4,4,2,4,Extremely Severe
4,2,3,3,Extremely Severe
2,2,2,4,Extremely Severe
3,3,3,4,Extremely Severe
2,2,1,1,Moderate
2,1,4,1,Severe
4,4,3,4,Extremely Severe
4,4,3,2,Extremely Severe
1,1,1,1,Normal
4,4,4,2,Extremely Severe
4,4,4,4,Extremely Severe
4,2,2,4,Extremely Severe
1,1,2,2,Moderate
2,2,1,3,Severe
4,3,3,3,Extremely Severe
1,1,1,2,Moderate
3,3,2,1,Extremely Severe
3,4,3,2,Extremely Severe
3,4,3,3,Extremely Severe
2,3,1,3,Severe
2,3,3,2,Extremely Severe
2,1,2,2,Moderate
4,4,4,3,Extremely Severe
1,1,1,1,Mild
1,4,1,1,Severe
1,1,1,1,Mild
4,4,4,4,Extremely Severe
3,3,3,4,Extremely Severe
2,3,4,4,Severe
2,1,3,2,Severe
3,1,4,2,Severe
1,1,2,1,Moderate
2,1,2,1,Moderate
3,2,2,2,Severe
4,4,2,2,Extremely Severe
3,3,2,4,Extremely Severe
4,4,4,3,Extremely Severe
2,4,1,2,Severe
4,2,2,4,Severe
3,3,1,3,Severe
2,2,1,1,Moderate
2,2,2,3,Extremely Severe
4,4,4,4,Extremely Severe
1,1,1,1,Moderate
1,2,2,2,Moderate
2,2,4,2,Extremely Severe
1,2,1,2,Moderate
3,4,3,3,Extremely Severe
4,3,1,4,Extremely Severe
4,3,2,1,Severe
3,3,3,2,Extremely Severe
3,3,1,1,Moderate
4,2,1,4,Extremely Severe
4,3,3,3,Extremely Severe
4,2,2,2,Extremely Severe
4,4,2,3,Extremely Severe
3,3,2,2,Extremely Severe
1,1,2,1,Moderate
4,4,3,3,Extremely Severe
1,1,1,2,Mild
4,4,4,4,Extremely Severe
3,2,1,2,Severe
1,1,1,1,Moderate
1,2,1,4,Moderate
4,4,4,4,Extremely Severe
3,2,2,2,Severe
4,3,3,4,Extremely Severe
3,4,4,1,Extremely Severe
2,4,3,3,Extremely Severe
4,2,4,3,Extremely Severe
3,3,2,2,Severe
4,4,4,4,Extremely Severe
4,3,1,2,Severe
2,4,3,3,Extremely Severe
4,1,2,3,Extremely Severe
1,1,3,1,Extremely Severe
3,2,2,2,Extremely Severe
2,2,3,2,Severe
4,4,3,3,Extremely Severe
2,2,3,2,Severe
3,3,2,4,Extremely Severe
2,2,1,2,Severe
4,4,3,2,Extremely Severe
1,1,1,1,Moderate
3,3,2,3,Severe
4,2,3,4,Extremely Severe
2,3,4,3,Extremely Severe
3,3,1,3,Severe
1,1,1,1,Mild
2,2,1,1,Moderate
1,3,1,1,Moderate
1,1,1,2,Moderate
3,3,1,4,Extremely Severe
4,4,4,4,Extremely Severe
4,2,1,2,Moderate
1,3,2,2,Severe
2,1,2,2,Moderate
3,3,3,2,Extremely Severe
3,2,2,2,Severe
1,1,1,1,Mild
3,3,2,2,Extremely Severe
4,4,3,4,Extremely Severe
3,3,2,4,Extremely Severe
1,3,3,2,Severe
4,4,4,4,Extremely Severe
1,1,1,1,Mild
2,2,1,1,Moderate
4,3,2,3,Extremely Severe
4,2,2,2,Severe
3,4,2,4,Extremely Severe
4,3,1,2,Severe
2,2,1,2,Severe
4,2,1,4,Extremely Severe
3,3,2,4,Extremely Severe
3,3,1,2,Severe
3,2,1,3,Moderate
1,1,1,1,Mild
1,2,1,2,Moderate
4,4,2,3,Extremely Severe
2,2,1,2,Severe
4,4,4,4,Extremely Severe
3,2,2,4,Extremely Severe
1,2,2,1,Moderate
2,2,1,2,Moderate
3,3,3,3,Extremely Severe
1,1,1,2,Mild
4,4,4,4,Extremely Severe
2,3,1,1,Moderate
3,3,4,3,Extremely Severe
3,4,3,4,Extremely Severe
2,2,1,4,Severe
2,2,2,2,Moderate
4,4,2,2,Extremely Severe
2,2,1,2,Moderate
3,2,1,4,Severe
3,2,2,2,Severe
4,4,4,4,Extremely Severe
2,2,2,2,Severe
2,2,1,1,Mild
4,4,4,4,Extremely Severe
4,4,3,2,Extremely Severe
2,2,2,2,Severe
3,4,3,3,Extremely Severe
2,3,1,2,Severe
2,2,1,4,Severe
3,3,3,2,Extremely Severe
4,1,2,1,Severe
2,1,3,1,Severe
4,3,2,4,Extremely Severe
3,1,1,1,Moderate
2,2,2,3,Extremely Severe
1,2,1,1,Moderate
3,2,3,3,Extremely Severe
1,2,2,1,Mild
2,4,4,4,Extremely Severe
1,1,2,1,Mild
2,2,3,2,Severe
4,2,3,2,Severe
4,4,1,4,Extremely Severe
2,2,2,2,Severe
4,4,2,4,Extremely Severe
4,4,3,3,Extremely Severe
1,1,1,1,Mild
3,2,3,4,Extremely Severe
4,3,1,2,Severe
3,2,2,3,Extremely Severe
2,1,1,1,Moderate
4,2,3,4,Extremely Severe
4,2,2,1,Severe
2,2,2,1,Moderate
2,2,2,2,Severe
3,2,3,4,Extremely Severe
2,2,2,2,Severe
2,2,3,2,Severe
4,4,4,4,Extremely Severe
2,2,2,3,Severe
2,3,4,4,Extremely Severe
1,1,1,1,Mild
2,1,1,2,Moderate
2,2,1,2,Severe
3,4,3,2,Extremely Severe
2,1,1,4,Severe
3,2,2,2,Extremely Severe
2,3,2,2,Severe
4,4,3,3,Extremely Severe
3,4,3,4,Extremely Severe
4,3,3,4,Extremely Severe
1,2,1,1,Moderate
4,4,4,3,Extremely Severe
1,2,1,2,Moderate
2,4,4,4,Extremely Severe
2,3,2,2,Extremely Severe
4,4,4,2,Extremely Severe
2,2,1,1,Moderate
3,3,3,4,Extremely Severe
2,3,4,1,Extremely Severe
4,1,3,2,Extremely Severe
2,2,2,1,Moderate
3,3,1,2,Severe
3,3,4,3,Extremely Severe
2,2,2,2,Severe
3,2,2,2,Severe
4,4,4,4,Extremely Severe
3,4,4,4,Extremely Severe
4,4,3,4,Extremely Severe
3,3,1,1,Extremely Severe
3,2,3,4,Extremely Severe
3,3,2,2,Severe
3,2,3,4,Extremely Severe
4,4,4,4,Extremely Severe
3,3,2,2,Severe
1,1,1,1,Mild
1,2,1,3,Moderate
4,3,3,3,Extremely Severe
2,2,2,2,Moderate
4,4,4,3,Extremely Severe
2,2,1,4,Severe
3,3,3,2,Extremely Severe
4,3,3,4,Extremely Severe
2,2,2,3,Severe
4,4,2,2,Extremely Severe
4,4,2,4,Extremely Severe
3,3,2,4,Extremely Severe
4,4,3,4,Extremely Severe
4,2,1,2,Severe
3,3,2,2,Severe
2,4,4,4,Extremely Severe
1,1,1,1,Mild
3,3,2,2,Extremely Severe
3,3,1,4,Severe
4,3,2,2,Severe
2,3,2,2,Severe
1,1,1,2,Mild
2,2,2,3,Moderate
3,2,1,2,Severe
4,4,3,4,Extremely Severe
3,3,3,3,Extremely Severe
4,4,3,4,Extremely Severe
2,1,3,3,Moderate
2,2,2,3,Severe
4,3,4,2,Extremely Severe
4,2,3,4,Extremely Severe
2,3,1,2,Moderate
4,4,2,3,Extremely Severe
4,4,4,4,Extremely Severe
2,2,2,2,Moderate
2,1,2,3,Severe
3,3,4,4,Extremely Severe
2,1,1,2,Mild
4,4,4,2,Extremely Severe
4,3,4,3,Extremely Severe
4,4,1,2,Moderate
4,3,1,4,Severe
2,2,1,1,Moderate
3,4,1,3,Extremely Severe
1,1,1,1,Normal
4,2,2,3,Extremely Severe
2,3,2,2,Severe
4,3,2,1,Extremely Severe
1,2,1,1,Moderate
4,2,1,2,Severe
2,2,1,2,Moderate
2,2,3,3,Severe
3,4,2,3,Extremely Severe
3,2,1,1,Extremely Severe
1,2,2,1,Moderate
3,3,3,2,Severe
3,3,2,2,Extremely Severe
3,3,3,3,Extremely Severe
4,2,1,2,Severe
3,2,4,3,Extremely Severe
3,2,1,2,Severe
3,2,2,2,Severe
4,4,2,2,Severe
3,2,2,3,Severe
3,2,3,2,Severe
3,2,4,1,Extremely Severe
2,2,3,3,Extremely Severe
4,4,4,4,Extremely Severe
3,1,1,2,Severe
4,2,2,4,Extremely Severe
2,2,2,4,Severe
3,3,2,2,Extremely Severe
3,3,2,2,Severe
2,2,2,2,Severe
3,2,2,3,Severe
2,3,1,2,Severe
4,4,2,4,Extremely Severe
3,2,3,3,Extremely Severe
3,3,1,2,Severe
4,4,2,4,Extremely Severe
4,4,4,3,Extremely Severe
4,4,4,3,Extremely Severe
2,1,1,4,Moderate
1,2,2,3,Severe
2,2,1,3,Moderate
3,4,2,2,Extremely Severe
3,3,2,2,Severe
2,2,2,4,Extremely Severe
2,4,1,4,Extremely Severe
2,3,2,1,Extremely Severe
3,3,2,2,Extremely Severe
3,2,4,4,Extremely Severe
4,4,3,2,Extremely Severe
2,2,2,2,Moderate
4,3,2,3,Extremely Severe
4,4,4,4,Extremely Severe
2,2,2,2,Severe
3,3,2,3,Extremely Severe
2,3,1,3,Severe
4,4,4,4,Extremely Severe
2,2,2,2,Severe
2,3,3,2,Extremely Severe
4,4,4,3,Extremely Severe
4,3,1,4,Extremely Severe
4,2,2,2,Extremely Severe
3,2,2,2,Severe
2,2,1,3,Severe
2,2,2,2,Severe
2,1,1,2,Moderate
2,1,2,2,Severe
3,4,3,4,Extremely Severe
3,3,2,4,Extremely Severe
4,4,2,2,Extremely Severe
4,4,3,4,Extremely Severe
